predicted_probs,target
0.9988306,1
0.9131714,1
0.15449646,1
0.9939481,1
0.92871296,1
0.9861427,1
0.95255315,1
0.073496506,1
0.99953246,1
0.9988907,1
0.9998104,1
0.9988427,1
0.9986148,1
0.996447,1
0.999215,1
0.98482704,1
0.97085583,1
0.9985904,1
0.9304231,1
0.99685955,1
0.10209819,1
0.99636084,1
0.99339396,1
0.37544894,1
0.9997142,1
0.9991228,1
0.99668115,1
0.9995838,1
0.99002445,1
0.99949,1
0.9999105,1
0.99970067,1
0.65758663,1
0.9552303,1
0.98696,1
0.9969862,1
0.98586243,1
0.99929893,1
0.9665265,1
0.99010134,1
0.9996536,1
0.9999962,1
0.99908876,1
0.9989773,1
0.2707061,1
0.98837835,1
0.85883975,1
0.99726945,1
0.99757594,1
0.99489224,1
0.99959666,1
0.9999423,1
0.9792564,1
0.98692954,1
0.3732051,1
0.9994192,1
0.9809904,1
0.8415136,1
0.9826926,1
0.9999838,1
0.99992514,1
0.9996549,1
0.96595144,1
0.9999546,1
0.9998865,1
0.9998254,1
0.9865654,1
0.9996463,1
0.99995387,1
0.99915516,1
0.9345596,1
0.9108135,1
0.9999628,1
0.9984775,1
0.9577423,1
0.952898,1
0.9995154,1
0.9832239,1
0.9967362,1
0.9972083,1
0.55250627,1
0.9999231,1
0.9996556,1
0.99973017,1
0.9896662,1
0.9906465,1
0.905993,1
0.6666065,1
0.9902912,1
0.293398,1
0.99554574,1
0.9975768,1
0.99745935,1
0.9990019,1
0.99984705,1
0.049011715,1
0.9944501,1
0.99519795,1
0.9999521,1
0.9959275,1
0.997171,1
0.14317477,1
0.9997074,1
0.99939513,1
0.99818593,1
0.99431133,1
0.9999809,1
0.9189565,1
0.99999964,1
0.99871254,1
0.9955395,1
0.9960641,1
0.99942136,1
0.99357986,1
0.99965656,1
0.97589135,1
0.9956905,1
0.9986842,1
0.99931836,1
0.9965144,1
0.9964695,1
0.9979639,1
0.99972457,1
0.99916685,1
0.9952449,1
0.9963845,1
0.8783515,1
0.98909926,1
0.9985468,1
0.9980135,1
0.9980173,1
