predicted_probs,target
0.9849744,1
0.96947193,1
0.8540373,1
0.9525631,1
0.98904675,1
0.9143187,1
0.96246374,1
0.876636,1
0.5939752,1
0.8054049,1
0.96330804,1
0.98167634,1
0.9973907,1
0.86811846,1
0.9586115,1
0.7260225,1
0.94488394,1
0.8818366,1
0.9736404,1
0.89464563,1
0.89220256,1
0.9571358,1
0.63415647,1
0.8289243,1
